==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.02358490566037736,,897.9012326450694
,,,,,,,,,,,,,,,,0.13424226533822758,,12460.785527005768
,,,,,,,,,,,,,,,,1.2962962962962963,,890.9629629629629
,,,,,,,,,,,,,,,,0.06609195402298851,,1557.5603448275863
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,,,
,Sales,11171,12868,15785,17606,19409,21505,23655.500000000004,26572.88236817123,29230.170604988354,32153.18766548719,35368.50643203591,38905.3570752395,42795.892782763454,,,,
,    Y/Y Growth %,#VALUE!,0.151911198639334,0.22668635374572582,0.11536268609439342,0.10240826990798592,0.10799113813179453,0.10000000000000017,0.12332786743764566,0.1,0.1,0.1,0.1,0.1,COMPANY GROWTH,0.1,,0.134059941086539
,    New products revenue,,,,300,1200,2500,4000,,,,,,,,,,
,    Innovation,0,0,0,0.017039645575372034,0.06182698748003503,0.11625203441060218,0.16909386823360315,0,0.1,0.1,0.1,0.1,0.1,INNOVATION RATE,0.1,,0.060702089283268736
,    Digital Media (Software creativo + Documentos),35,40,45,50,55,60,65,,,,,,,,,,
,    Digital Experience (Plataformas de experiencia digital),14,17,21,25,30,35,40,,,,,,,,,,
,    Publishing & Advertising (Herramientas heredadas),3,2.5,2,1.5,1,0.8,0.5,,,,,,,,,,
,    Industry revenue,52000,59500,68000,76500,86000,95800,105500,,,,,,,,,,
,    Market share,0.21482692307692308,0.21626890756302522,0.23213235294117648,0.2301437908496732,0.2256860465116279,0.22447807933194155,0.2242227488151659,#DIV/0!,0.1,0.1,0.1,0.1,0.1,MARKET GROWTH,0.1,,0.22548865433543508
,EBITDA,5198.08,6278,8047,8801,9790,10876,11863.212264150943,12770.057258282928,11413.92440190703,12555.31684209773,13810.848526307505,15191.933378938254,16711.126716832085,,,,
,    EBITDA margin %,0.4653191298898935,0.48787690394777744,0.5097877732024073,0.49988640236283083,0.5044051728579525,0.5057428504998838,0.5014991128554012,0.48056725956002394,0.39048435796536735,0.3904843579653673,0.3904843579653673,0.39048435796536723,0.39048435796536735,,,,
,Depreciation & Amortization Expense,736.67,757,788,856,872,857,877.2122641509434,810.0572582829286,891.0629841112215,980.1692825223436,1078.1862107745778,1186.0048318520355,1304.605315037239,,,,
,EBIT ,4461.41,5521,7259,7945,8918,10019,10986,11960,10522.861417795808,11575.147559575387,12732.662315532927,14005.92854708622,15406.521401794844,,,,
,    EBIT margin %,0.399374272670307,0.4290488032328256,0.45986696230598667,0.451266613654436,0.4594775619557937,0.4658916531039293,0.46441630910359105,0.4500829015946567,0.36000000000000004,0.36,0.36,0.36,0.36,MARGEN EBIT,0.36,,0.44704888228955275
,Interest expense/ Income (introducir en negativo si es un ingreso) ,157,116,113,112,113,169,388,333.9344262295082,367.327868852459,404.0606557377049,444.4667213114754,488.9133934426229,537.8047327868852,,,,
,,,,,,,,,,,,,,,,,,
,Pretax Income,4304.41,5405,7146,7833,8805,9850,10598,11626.065573770491,10155.53354894335,11171.086903837682,12288.195594221452,13517.015153643597,14868.71666900796,,,,
,Income Taxes,253.2,-1084,883,1252,1371,1371,1461,1981.0486555697823,2132.662045278103,2345.9282498059133,2580.521074786505,2838.573182265155,3122.4305004916714,,,,
,   tax rate,0.05882339275301377,-0.2005550416281221,0.12356563112230619,0.1598365887910124,0.1557069846678024,0.13918781725888324,0.13785619928288356,0.17039716858635448,0.21,0.21,0.21,0.21,0.21,TAX RATE,0.21,,0.1481468975001454
,Consolidated Net Income,4051.21,6489,6263,6581,7434,8479,9137,9645.016918200708,8022.871503665247,8825.15865403177,9707.674519434946,10678.441971378441,11746.286168516288,,,,
,Minority Interest,,,,,,,,,0,0,0,0,0,,,,
,Net Income,4051.21,6489,6263,6581,7434,8479,9137,9645.016918200708,8022.871503665247,8825.15865403177,9707.674519434946,10678.441971378441,11746.286168516288,,,,
,    Margen beneficio neto %,0.36265419389490644,0.5042741684799502,0.39676908457396265,0.37379302510507784,0.38301818743881705,0.39428039990699837,0.386252668512608,0.36296464886900737,0.2744722777052858,0.2744722777052858,0.27447227770528576,0.27447227770528576,0.2744722777052858,,,,
,Net income per share ( EPS ),8.24086655817738,13.365602471678681,13.02079002079002,13.975366319813125,16.234985804760864,18.854792083611297,21.2983682983683,23.697830265849408,20.251267390798727,22.885566847867864,25.862537876824288,29.226755442698877,33.02859285409843,SHARES REPOURCHASE,-0.026618205353564184,,-0.026618205353564184
,Fully diluted shares  (millions),491.6,485.5,481,470.9,457.9,449.7,429,407,396.1663904210994,385.62115208669024,375.35660907176873,365.3652897706789,355.63992145849846,,-10.83360957890062,,
,,#VALUE!,-6.100000000000023,-4.5,-10.100000000000023,-13,-8.199999999999989,-20.69999999999999,-22,-32.83360957890062,-10.545238334409134,-10.264543014921514,-9.991319301089845,-9.725368312180422,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,Programa de recompra de acciones de 25 B hasta 2027-2026,-83.7336095789006,,,,,,,,,,
,,,,,,,2023,9.5,500,4989,,,,,,,,
,,,,,,,2024,8.2,550,10170,,,,,,,,
,,,,,,,2025,16,600,10170,,,,,,,,
,,,,,,,2026,9.98,600,10170,,,,,,,,


==================================================
PÁGINA: 2.FLUJOS DE CAJA
==================================================
,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,
,"Cash flow Statement (millones ,excepto EPS)",,,,,,,,,,,,,,,,
,EBITDA,5198.08,6278,8047,8801,9790,10876,11863.212264150943,12770.057258282928,11413.92440190703,12555.31684209773,13810.848526307505,15191.933378938254,16711.126716832085,,,
,Capex (introducir manual),394.4,419,348,442,360,183,128.5,158.5744680851064,174.43191489361703,191.87510638297874,211.06261702127662,232.16887872340428,255.3857665957447,,-0.2972972972972973,90.29729729729729
,Ajuste leases,,,,,,,,,0,0,0,0,0,,,
,Intereses,157,116,113,112,113,169,388,333.9344262295082,367.327868852459,404.0606557377049,444.4667213114754,488.9133934426229,537.8047327868852,,,
,Tasas,253.2,-1084,883,1252,1371,1371,1461,1981.0486555697823,2132.662045278103,2345.9282498059133,2580.521074786505,2838.573182265155,3122.4305004916714,,,
,Minoritarios (si procede),,,,,,,,,0,0,0,0,0,,,
,Flujo de caja libre,4393.4800000000005,6827,6703,6995,7946,9153,9885.712264150943,10296.49970839853,8739.502572882851,9613.452830171134,10574.798113188248,11632.277924507074,12795.505716957785,,,
,Flujo de caja libre por accion,8.937103336045565,14.061791967044284,13.935550935550935,14.854533871310258,17.35313387202446,20.35356904603069,23.04361833135418,25.298525082060273,22.06018174230611,24.929786081884753,28.17267062204926,31.83739192031093,35.97882280617633,,,


==================================================
PÁGINA: 3.RETORNOS CAPITAL
==================================================
,,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,,,
,"Retornos capital (millones ,excepto EPS)",,,,,,,,,,,,,,,,,,
,EBIT,4461.41,5521,7259,7945,8918,10019,10986,11960,10522.861417795808,11575.147559575387,12732.662315532927,14005.92854708622,15406.521401794844,CRECIMIENTO,0.1,,-0.11230789439117299,5999.0232497044535
,Interest,157,116,113,112,113,169,388,333.9344262295082,367.327868852459,404.0606557377049,444.4667213114754,488.9133934426229,537.8047327868852,,,,,
,Tasas,253.2,-1084,883,1252,1371,1371,1461,1981.0486555697823,2132.662045278103,2345.9282498059133,2580.521074786505,2838.573182265155,3122.4305004916714,,,,,
,Net income,4051.21,6489,6263,6581,7434,8479,9137,9645.016918200708,8022.871503665247,8825.15865403177,9707.674519434946,10678.441971378441,11746.286168516288,,,,,
,(+) Cash and cash equivalents,2650,4478,3844,4236,7141,7613,6758,4919,5410.9,5951.99,6547.188999999999,7201.907899999999,7922.098689999999,,,,,
,(+) Deuda financiera total ,4137.9,4117,4123,4129,3634,5628,6155,4617.292278166629,5079.021505983293,5586.923656581622,6145.616022239784,6760.177624463762,7436.195386910138,,,,,
,(+) Deuda leases,,,,,,,,,0,0,0,0,0,,,,,
,(+) Goodwill ,10690,10740,12670,12780,12800,12780,12800,14041,15445.1,16989.61,18688.571,20557.4281,22613.17091,,,,,
,(+) Equity,10530,13264,14797,14051,16518,14105,13095,11518,12669.8,13936.779999999999,15330.457999999999,16863.5038,18549.85418,,,,,
,(+) Current Assets,6495,8146,8669,8996,11084,11232,11381.976181883796,,0,0,0,0,0,,0.013352580295922012,11533.954932778672,,
,(+) Non-current Assets,14267,16138,18572,18169,18695,18998,19305.910885263438,,0,0,0,0,0,,0.016207542123562346,19618.812249170085,,
,(+) Available Assets,4177,5992,5798,6096,7842,7886,7435,,0,0,0,0,0,,,,,
,(+) Realizable assets,1535,1398,1878,2065,2224,2072,1973,,0,0,0,0,0,,,,,
,(+) Clients,1535,1398,1878,2065,2224,2072,1973,,0,0,0,0,0,,,,,
,(+) Current Liabilities,8191,5512,6932,8128,8251,10521,9163,,0,0,0,0,0,,,,,
,(+) Non-current Liabilities,2041,5508,5512,4986,5010,5604,7697,,0,0,0,0,0,,,,,
,(+) Accounts payable,209,306,312,379,314,361,326,,0,0,0,0,0,,,,,
,(+) Inventory,,,,,,,,,0,0,0,0,0,,,,,
,Capital empleado con goodwill,12017.9,12903,15076,13944,13011,12120,12492,11216.29227816663,12337.921505983291,13571.71365658162,14928.885022239785,16421.773524463762,18063.950876910138,,,,,
,Capital empleado sin goodwill,1327.8999999999996,2163,2406,1164,211,-660,-308,-2824.7077218333707,-3107.178494016707,-3417.896343418379,-3759.6859777602167,-4135.654575536239,-4549.220033089863,,,,,
,,,,,,,,,,,,,,,,,,,
,ROE ( net income / equity ),0.38473029439696105,0.4892189384800965,0.42326147191998376,0.46836524090812043,0.4500544860152561,0.6011343495214463,0.6977472317678504,0.8373864315159497,0.6332279517960225,0.6332279517960224,0.6332279517960224,0.6332279517960224,0.6332279517960226,,,,,
,ROA (Net income/ Activo),0.21488344090164724,0.2273513424477022,0.26647333064131273,0.2924719307933002,0.2994727828335404,0.3314257360238174,0.357991411267966,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,
,ROCE sin goodwill (EBIT / Capital empleado),3.359748475035772,2.5524734165510865,3.0170407315045717,6.8256013745704465,42.2654028436019,-15.18030303030303,-35.66883116883117,-4.234066380587294,-3.386629200111613,-3.386629200111612,-3.3866292001116123,-3.386629200111612,-3.386629200111612,,,,,
,ROCE con goodwill( EBIT / Capital empleado),0.371230414631508,0.4278849879872898,0.4814937649243831,0.5697791164658634,0.6854200292060564,0.8266501650165017,0.8794428434197886,1.0663060219357028,0.852887693659968,0.8528876936599679,0.8528876936599677,0.8528876936599679,0.852887693659968,,Valor Óptimo (Líderes 2023),Empresas Quebradas (Ejemplos Software),,
,Liquidity,,21,,,,,,,,,,,,,,,,
,Liquidez (AC/PC),0.7929434745452326,1.477866473149492,1.2505770340450086,1.106791338582677,1.3433523209307963,1.067579127459367,1.2421669957310701,#DIV/0!,,,,,,,"1.8 - 3.5
(Microsoft: 1.8, Adobe: 1.9)","< 1.0
(Quibi: 0.7 en 2020)",,
,Tesoreria (AD+AR)/ PC,0.6973507508240752,1.340711175616836,1.1073283323716099,1.0040600393700787,1.2199733365652647,0.9464879764280962,1.0267379679144386,#DIV/0!,,,,,,,"1.0 - 1.5
(Salesforce: 1.2, Oracle: 1.3)","< 0.5
(Theranos: 0.2 en 2018)",,
,Disponibilidad (AD/PC),0.509949945061653,1.0870827285921625,0.8364108482400462,0.75,0.9504302508786814,0.7495485220036118,0.8114154752810215,#DIV/0!,,,,,,,"0.6 - 1.2
(ServiceNow: 0.8, Intuit: 0.9)","< 0.3
(Cyanogen: 0.1 en 2016)",,
,Test acido (AC-Inventarios)/PC,0.7929434745452326,1.477866473149492,1.2505770340450086,1.106791338582677,1.3433523209307963,1.067579127459367,1.2421669957310701,#DIV/0!,,,,,,,"1.5 - 2.5
(Adobe: 1.9, Salesforce: 2.0)","< 0.6
(Jawbone: 0.3 en 2017)",,
,Endeudamiento,,,,,,,,,,,,,,,,,,
,Endeudamiento (DT / Activo),0.19930160870821692,0.16953549662329107,0.15135274035461252,0.15199705503405117,0.12203230464421236,0.18617267614952035,0.20056773496762523,#DIV/0!,,,,,,,"< 0.4
(Microsoft: 0.3, Adobe: 0.2)","> 0.7
(SunEdison: 0.85 en 2016)",,
,Calidad de deuda (PC/DT),1.979506512965514,1.3388389604080642,1.6813000242541838,1.9685153790263987,2.270500825536599,1.8694029850746268,1.4887083671811536,0,,,,,,,"< 0.3
(ServiceNow: 0.25, Oracle: 0.28)","> 0.6
(Blue Apron: 0.8 en 2020)",,
,Capacidad de devolucion (BN+D&A/DT),1.1570796780975858,1.7600194316249695,1.710162503031773,1.8011625090821022,2.2856356631810675,1.6588486140724947,1.6270044295939794,2.2643301629228882,,,,,,,"> 0.7
(Microsoft: 0.8, Adobe: 1.1)","< 0.2
(WeWork: 0.05 en 2023)",,
,Gastos Financieros/Ventas,0.014054247605406857,0.009014609884986011,0.007158694963573012,0.006361467681472225,0.005822041321036632,0.007858637526156708,0.016402105218659507,0.012566737081916711,,,,,,,"< 5%
(Salesforce: 3%, Intuit: 4%)","> 20%
(Nortel: 28% en 2008)",,
,Rotacion,,,,,,,,,,,,,,,,,,
,Activo (V/AT),0.5380502841730084,0.5298962279690331,0.5794574354832789,0.64811338118903,0.6517680244467577,0.711379424412835,0.7708416010603834,#DIV/0!,,,,,,,"0.5 - 1.2
(Adobe: 1.1, Microsoft: 0.6)","< 0.3
(Pets.com: 0.2 en 2000)",,
