==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,
,Sales,321,517,625,793,793,2775.73,2960,6800,6970,7144.25,7322.85625,7505.92765625,7693.57584765625,,
,    Y/Y Growth %,,0.6105919003115264,0.20889748549323017,0.2688,0,2.5002900378310216,0.06638613986230649,1.2972972972972974,0.025,0.025,0.025,0.025,0.025,CRECIMIENTO,0.025
,EBITDA,28.3,51.4,58,72.4,72.4,177.6,240,367,391.95,425,540,674,709,,
,    EBITDA margin %,0.08816199376947041,0.09941972920696325,0.0928,0.09129886506935687,0.09129886506935687,0.06398316839173838,0.08108108108108109,0.05397058823529412,0.0562338593974175,0.0594883997620464,0.07374171792598004,0.0897956962639757,0.09215480734046287,,
,Depreciation & Amortization Expense,13.74,2.030000000000001,37.53,52.28,41.120000000000005,-16.930000000000007,123.5,320,328,336.2,344.60499999999996,353.22012499999994,362.05062812499995,,
,EBIT ,14.56,49.37,20.47,20.12,31.28,194.53,116.5,47,63.94999999999999,88.80000000000001,195.39500000000004,320.77987500000006,346.94937187500005,,
,    EBIT margin %,0.045358255451713396,0.09549323017408123,0.032751999999999996,0.025372005044136194,0.03944514501891551,0.07008246479304543,0.03935810810810811,0.006911764705882353,0.009175035868005737,0.012429576232634638,0.026682894396568284,0.04273687273456394,0.04509598381105111,MARGEN EBIT,0.07
,Interest expense/ Income (introducir en negativo si es un ingreso) ,1.4,3.31,7.449999999999999,10.2,11.600000000000001,30.2,20,62.400000000000006,63.96000000000001,65.55900000000001,67.19797500000001,68.87792437500002,70.59987248437503,,
,,,,,,,,,,,,,,,,
,Pretax Income,13.16,46.059999999999995,13.02,9.920000000000002,19.68,164.33,96.5,-15.400000000000006,-0.010000000000019327,23.241,128.19702500000002,251.90195062500004,276.34949939062506,,
,Income Taxes,2.2,6.7,3.3,3.3,4.2,7.2,26.9,10,-0.002700000000005218,6.27507,34.61319675000001,68.01352666875002,74.61436483546878,,
,   tax rate,0.16717325227963528,0.14546244029526706,0.2534562211981567,0.33266129032258057,0.2134146341463415,0.04381427615164608,0.2787564766839378,-0.6493506493506491,0.27,0.27,0.27,0.27,0.27,TAX RATE,0.27
,Consolidated Net Income,10.96,39.35999999999999,9.719999999999999,6.620000000000002,15.48,157.13000000000002,69.6,-25.400000000000006,-0.007300000000014109,16.96593,93.58382825000001,183.88842395625002,201.73513455515626,,
,Minority Interest,0,1,1.1,0.374,1.19,2.3,8.71,6.4,6.56,6.723999999999999,6.892099999999998,7.064402499999997,7.241012562499996,,
,Net Income,10.96,38.35999999999999,8.62,6.246000000000002,14.290000000000001,154.83,60.88999999999999,-31.800000000000004,-6.567300000000014,10.24193,86.69172825000001,176.82402145625002,194.49412199265626,,
,    Margen beneficio neto %,0.03414330218068536,0.07419729206963248,0.013791999999999999,0.007876418663303911,0.01802017654476671,0.055779920957730045,0.020570945945945943,-0.004676470588235295,-0.0009422238163558125,0.0014335906498232844,0.011838512909494845,0.023557917096231677,0.025280068182067305,,
,Net income per share ( EPS ),0.37521396781924,0.9448275862068963,0.20876725599418744,0.15876970005083887,0.33411269581482345,3.5284867821330903,1.4160465116279068,-0.7756097560975611,-0.16098296359848052,0.25232006336376084,2.1464687101490267,4.400125703658443,4.864152922837726,,
,Fully diluted shares  (millions),29.21,40.6,41.29,39.34,42.77,43.88,43,41,40.795,40.591025,40.388069875,40.186129525625,39.98519887799687,SHARES REPOURCHASE,-0.005
,,,0.38993495378295107,0.016995073891625558,-0.04722693146040193,0.08718861209964411,0.025952770633621683,-0.02005469462169559,-0.046511627906976744,0.2049999999999983,,,,,,2
,,0.04280373831775701,0.003926499032882014,0.060048000000000004,0.06592686002522068,0.051853720050441365,-0.006099296401307046,0.04172297297297297,0.047058823529411764,,,,,,,
,,,,,,,,,0.047058823529411764,0.047058823529411764,0.047058823529411764,0.047058823529411764,0.04705882352941176,0.04705882352941176,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2025,2026,,,,,,,,,,,,,
,Princes Group,2.64,2.62,,,,,,,,,,,,,
,Carrefour,1,2.98,,,,,,,,,,,,,
,Diageo,0.0575,0.23,,,,,,,,,,,,,
,Plasmon,0.0425,0.17,,,,,,,,,,,,,
,Centrale de Latte d'Italia,0.06124999999999999,0.24499999999999997,,,,,,,,,,,,,
,NewPrinces Group TURNOVER,3.80125,6.245,,,,,,,,,,,,,
,Princes Group,171,200,0.06477272727272727,,,,,,,,,,,,
,Carrefour,80,115,0.08,,,,,,,,,,,,
,Diageo,5,20,0.08695652173913043,,,,,,,,,,,,
,Plasmon,8.5,17,0.2,,,,,,,,,,,,
,Centrale de Latte d'Italia,18.5,18.5,,,,,,,,,,,,,
,NewPrinces Group EBITDA,283,370.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,1378,IPO real,,,,,,,,,,,,
,,,250.54545454545453,"EV/EBITDA 5,5",,,,,,,,,,,,
,,,205.44727272727272,EBITDA atribuible a NewPrinces,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,34.5,,,,,,,,,,,,,,


==================================================
PÁGINA: 2.FLUJOS DE CAJA
==================================================
,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,
,"Cash flow Statement (millones ,excepto EPS)",,,,,,,,,,,,,,,,
,EBITDA,28.3,51.4,58,72.4,72.4,177.6,240,367,391.95,425,540,674,709,,,
,Capex (introducir manual),3.4,13.7,12.9,14.4,22,23,195,40,40,40,40,40,38.2560444519,,,
,Ajuste leases,4.1,7.3,13.8,13.6,10.3,19.8,39,95,96.6625,98.35409374999999,100.07529039062499,101.82660797246092,103.60857361197898,,RENEGOCIACION LEASES,0.7
,Intereses,1.4,3.31,7.449999999999999,10.2,11.600000000000001,30.2,20,62.400000000000006,63.96000000000001,65.55900000000001,67.19797500000001,68.87792437500002,70.59987248437503,,,
,Tasas,2.2,6.7,3.3,3.3,4.2,7.2,26.9,10,-0.002700000000005218,6.27507,34.61319675000001,68.01352666875002,74.61436483546878,,,
,Minoritarios (si procede),0,1,1.1,0.374,1.19,2.3,8.71,6.4,6.56,6.723999999999999,6.892099999999998,7.064402499999997,7.241012562499996,,,
,Flujo de caja libre,17.200000000000003,19.39,19.450000000000006,30.52600000000001,23.110000000000003,95.1,-49.61,153.20000000000002,184.77020000000002,208.08783624999995,291.221437859375,388.21753848378904,414.68013205377713,,,
,Flujo de caja libre por accion,0.5888394385484423,0.47758620689655173,0.4710583676434974,0.7759532282663957,0.5403320084171148,2.1672743846855056,-1.1537209302325582,3.7365853658536587,4.529236426032602,5.126449412154533,7.210580717541036,9.660485920552242,10.370840803344562,,,
,,,,,,,,,2025,2026,2027,2028,2029,2030,Total ,Concepto,
,,,,,,,,,33,33.99,35.0097,36.059991000000004,37.141790730000004,38.2560444519,213.45752618190002,Capex PreAcuerdo,
,,,,,,,,,23.700000000000003,47.400000000000006,59.25,47.400000000000006,36,23.2,236.95000000000002,Capex CarrefourItalia,
,,,,,,,,,0,40,40,40,40,40,200,Capex NewPrinces (compromiso renovacion de tiendas Carrefour),
,,,,,,,,,139.7,121.39000000000001,134.2597,123.459991,113.14179073,101.4560444519,733.4075261819,Capex Total,
,,,,,,,,,12,10,8,6,4,2,42,Leases Carrefour Italia,
,,,,,,,,,46,48.96654,40,36,35,35,240.96654,Leases NexPrinces,
,,,,,,,,,58,58.96654,48,42,39,37,282.96654,Leases Totales,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Año,Total CapEx (M€),Tiendas (50%) (M€),,,,,,,,,,,
,,,,2025,131.25,65.625,,148,,,,,,,,,
,,,,2026,109.375,54.688,,,,,,,,,,,
,,,,2027,87.5,PIE,,,,,,,,,,,
,,,,2028,65.625,32.813,,,,,,,,,,,
,,,,2029,35,17.5,,,,,,,,,,,
,,,,2030,8.75,4.375,,,,,,,,,,,
,,,,Total,437.5,218.75,,,,,,,,,,,


==================================================
PÁGINA: 3.RETORNOS CAPITAL
==================================================
,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,
,"Retornos capital (millones ,excepto EPS)",,,,,,,,,,,,,,,
