==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,📱,Link 1H 2025,,
,,,,,,,,,,,,,,,,2026-2028 Unitada Business Plan,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,,,,
,Sales,13.2,23.4,37,51.3,93.3,101.3,105.5,115,129.5,140,155.4,172.494,,,,,,
,    Y/Y Growth %,,0.7727272727272727,0.5811965811965812,0.3864864864864864,0.8187134502923977,0.0857449088960343,0.041461006910167846,0.11,0.11,0.11,0.11,0.11,,CRECIMIENTO,0.11,,,
,EBITDA,5.2,8.62,14.09,16.24,24.4,27.4,28.75,31,32.5,33.6,42.855855363529415,47.56999945351765,,,,,EBITDA CAGR,0.06321906614238992
,    EBITDA margin %,0.393939393939394,0.36837606837606834,0.3808108108108108,0.31656920077972706,0.2615219721329046,0.2704837117472853,0.2725118483412322,0.26956521739130435,0.25096525096525096,0.24000000000000002,0.2757777050420168,0.2757777050420168,,,,,,
,Depreciation & Amortization Expense,3.7,4.9,5.5,10.3,10,11,11.647058823529415,12.92823529411765,14.350341176470591,15.928878705882356,17.681055363529417,19.625971453517653,,,,,,
,EBIT ,2,4.9,9.1,10.7,14.399999999999999,16.4,17.102941176470587,18.63,20.979,22.68,25.1748,27.944028,,,,,,
,    EBIT margin %,0.15151515151515152,0.20940170940170943,0.24594594594594593,0.20857699805068225,0.15434083601286172,0.16189536031589338,0.1621131865068302,0.162,0.162,0.162,0.162,0.162,,MARGEN EBIT,0.162,,,
,Interest expense/ Income (introducir en negativo si es un ingreso) ,-0.121,-0.1,0.28,0.06,2.9,3,1.842,2.6,2,1.5,0.5,0,,,,,,
,,,,,,,,,,,,,,,,,,,
,Pretax Income,2.121,5,8.82,10.639999999999999,11.499999999999998,13.399999999999999,15.260941176470586,16.029999999999998,18.979,21.18,24.6748,27.944028,,,,,,
,Income Taxes,0.6,1.39,0.97,3.1,2.5,3.8,3.4,4.40825,5.219225,5.8245000000000005,6.785570000000001,7.684607700000001,,,,,,
,   tax rate,0.2828854314002829,0.27799999999999997,0.10997732426303854,0.29135338345864664,0.2173913043478261,0.28358208955223885,0.22279097735086884,0.275,0.275,0.275,0.275,0.275,,TAX RATE,0.275,,,
,Consolidated Net Income,1.521,3.6100000000000003,7.8500000000000005,7.539999999999999,8.999999999999998,9.599999999999998,11.860941176470586,11.621749999999999,13.759775,15.3555,17.88923,20.2594203,,,,,,
,Minority Interest,,,,,,,,0,0,0,0,0,,,,,,
,Net Income,1.521,3.6100000000000003,7.8500000000000005,7.539999999999999,8.999999999999998,9.599999999999998,11.860941176470586,11.621749999999999,13.759775,15.3555,17.88923,20.2594203,,,,,,
,    Margen beneficio neto %,0.11522727272727272,0.1542735042735043,0.2121621621621622,0.1469785575048733,0.09646302250803857,0.09476801579466929,0.112425982715361,0.1010586956521739,0.1062530888030888,0.10968214285714285,0.11511731016731017,0.11745,,,,,,
,Net income per share ( EPS ),0.05406269993602047,0.12831449491718205,0.27902182412739035,0.2680031278879647,0.31989763275751754,0.31078018776303,0.42360504201680665,0.41539290352721053,0.49220322122856663,0.5497214164907627,0.6409378476680058,0.7264351655366699,,,,,,
,Fully diluted shares  (millions),28.134,28.134,28.134,28.134,28.134,30.89,28,27.977728799208315,27.955475312930368,27.933239527076037,27.911021427566403,27.888821000333746,,SHARES REPOURCHASE,-0.0007954000282744955,,,
,,,0,0,0,0,0.09795976398663539,-0.0935577856911622,0.02227120079168543,,,,,,,-2.8900000000000006,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.178000000000001,,,,,,,,,,,


==================================================
PÁGINA: 2.FLUJOS DE CAJA
==================================================
,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,
,"Cash flow Statement (millones ,excepto EPS)",,,,,,,,,,,,,,
,EBITDA,5.2,8.62,14.09,16.24,24.4,27.4,28.75,31,32.5,33.6,42.855855363529415,47.56999945351765,,
,Capex (introducir manual),7,9,10.5,11.1,17.4,12,12,17,17,17,18.87,20.945700000000002,CRECIMIENTO CAPEX,0.11
,Ajuste leases,0.2,0.01,1.5,0.6,0.188,0.842,0.59,0.6548999999999999,0.7269389999999999,0.8069022899999999,0.8956615418999999,0.9941843115089999,,
,Intereses,-0.121,-0.1,0.28,0.06,2.9,3,1.842,2.6,2,1.5,0.5,0,,
,Tasas,0.6,1.39,0.97,3.1,2.5,3.8,3.4,4.40825,5.219225,5.8245000000000005,6.785570000000001,7.684607700000001,,
,Minoritarios (si procede),,,,,,,,0,0,0,0,0,,
,Flujo de caja libre,-2.479,-1.6800000000000008,0.8399999999999999,1.379999999999999,1.4119999999999997,7.757999999999998,10.918,6.336850000000001,7.553836,8.468597710000001,15.804623821629415,17.94550744200865,,
,Flujo de caja libre por accion,-0.08811402573398734,-0.05971422478140331,0.029857112390701636,0.04905097035615266,0.05018838416151275,0.25114923923599863,0.3899285714285714,0.22649622653356033,0.2702095355361778,0.30317277384856434,0.5662502844134515,0.6434659766289116,,
,,,,,,,,,,,,,,,
,,,,,,,,0.7843137254901961,,,,,,,
,,,,,,,,29.80392156862745,,,,,67,Capex acumulado Target (2026-2028),
,,,,,,,,,,,,,36.55861224489796,Capex pre target,
,,,,,,,,,,,,,30.441387755102042,Remaining capex,


==================================================
PÁGINA: 3.RETORNOS CAPITAL
==================================================
,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,
,"Retornos capital (millones ,excepto EPS)",,,,,,,,,,,,,,
,EBIT,2,4.9,9.1,10.7,14.399999999999999,16.4,17.102941176470587,18.63,20.979,22.68,25.1748,27.944028,CRECIMIENTO,0.11
,Interest,-0.121,-0.1,0.28,0.06,2.9,3,1.842,2.6,2,1.5,0.5,0,,
,Tasas,0.6,1.39,0.97,3.1,2.5,3.8,3.4,4.40825,5.219225,5.8245000000000005,6.785570000000001,7.684607700000001,,
,Net income,1.521,3.6100000000000003,7.8500000000000005,7.539999999999999,8.999999999999998,9.599999999999998,11.860941176470586,11.621749999999999,13.759775,15.3555,17.88923,20.2594203,,
,(+) Cash and cash equivalents,1.69,11.13,8.27,12.5,12.9,4.8,27.4,30.413999999999998,33.75954,37.4730894,41.595129234,46.17059344974,,
,(+) Deuda financiera total ,2.6,5.6,6.4,17.5,56,44.3,60,66.6,73.92599999999999,82.05785999999999,91.08422459999998,101.10348930599999,,
,(+) Deuda leases,3.9,3.8,5.4,4.8,4.8,4,2,2.22,2.4642000000000004,2.7352620000000005,3.0361408200000004,3.3701163102000002,,
,(+) Goodwill ,0,0,0,0,0,37.5,37.5,41.625,46.20375,51.2861625,56.927640375,63.189680816250004,,
,(+) Equity,12.33,21.43,29.3,36.92,64.61,72.99,83.4,92.57400000000001,102.75714000000002,114.06042540000003,126.60707219400003,140.53385013534003,,
,Capital empleado con goodwill,17.14,19.7,32.830000000000005,46.72,112.50999999999999,116.49,118,130.98000000000002,145.38780000000003,161.38045800000003,179.13230838000004,198.8368623018,,
,Capital empleado sin goodwill,17.14,19.7,32.83,46.72,112.51,78.99,80.5,89.35499999999999,99.18405000000003,110.09429550000003,122.20466800500002,135.64718148555,,
,,,,,,,,,,,,,,,
,ROE ( net income / equity ),0.12335766423357664,0.1684554363042464,0.26791808873720135,0.20422535211267603,0.13929732239591391,0.13152486642005753,0.14221752010156577,0.1255401084537775,0.1339057801725505,0.134626010258594,0.14129724106239763,0.1441604302485794,,
,ROCE sin goodwill (EBIT / Capital empleado),0.11668611435239207,0.2487309644670051,0.2771855010660981,0.2290239726027397,0.12798862323349033,0.20762121787568047,0.21245889660211909,0.2084942084942085,0.21151586368977668,0.20600522394913726,0.20600522394913728,0.2060052239491373,,
,ROCE con goodwill( EBIT / Capital empleado),0.11668611435239207,0.2487309644670051,0.277185501066098,0.2290239726027397,0.12798862323349036,0.14078461670529657,0.14494017946161514,0.1422354557947778,0.1442968392120934,0.1405374621008945,0.1405374621008945,0.14053746210089452,,


==================================================
PÁGINA: 4. VALORACIÓN
==================================================
2026-05-19,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,,,,,
,"Valuation  ( millons ,except EPS )",,,,,,,,,,,,,,Cotización actual,,2.74,EUR
,Market cap,,,,,,,76.72,76.65897690983078,76.59800235742921,76.53707630418835,76.47619871153195,76.41536954091447,,,,,
,Net DEBT  (-) si es caja neta ,4.8100000000000005,-1.7300000000000013,3.530000000000001,9.8,47.9,43.5,34.6,37,38,35,27,20,, Dividend yield ,,0.01,
,Deuda neta /EBITDA,0.925,-0.20069605568445492,0.25053229240596175,0.6034482758620691,1.9631147540983607,1.5875912408759125,1.2034782608695653,1.1935483870967742,1.1692307692307693,1.0416666666666665,0.6300189267247052,0.4204330508673374,,,,,
,Deuda neta/equity,0.3901054339010544,-0.08072795146990207,0.12047781569965874,0.26543878656554715,0.7413713047515864,0.5959720509658858,0.4148681055155875,0.39968025579536365,0.3698039863701928,0.30685489622941553,0.21325822903974825,0.14231446716032584,,,,,
,Enterprise Value ( EV ),,,,,,,,113.65897690983078,114.59800235742921,111.53707630418835,103.47619871153195,96.41536954091447,,,1.Recompra,0.4,
,EBITDA,5.2,8.62,14.09,16.24,24.4,27.4,28.75,31,32.5,33.6,42.855855363529415,47.56999945351765,,,2.Dividendos,4,
,EBIT,2,4.9,9.1,10.7,14.399999999999999,16.4,17.102941176470587,18.63,20.979,22.68,25.1748,27.944028,,3.M&A,,1,
,Net income,1.521,3.6100000000000003,7.8500000000000005,7.539999999999999,8.999999999999998,9.599999999999998,11.860941176470586,11.621749999999999,13.759775,15.3555,17.88923,20.2594203,,,,5.4,
,FCF,-2.479,-1.6800000000000008,0.8399999999999999,1.379999999999999,1.4119999999999997,7.757999999999998,10.918,6.336850000000001,7.553836,8.468597710000001,15.804623821629415,17.94550744200865,,,,0.9368500000000006,
,,,,,,,,,,,,,,,,,,
,,3 YEARS,5 YEARS,,,,,,,,,,,,,,,
,CAGR  by PER,0.3190150282765032,0.25273239662130775,,PER+caja,,,4.735904369747899,4.644092661434214,5.502832013335375,6.145885436366727,7.165685136928304,8.121545150699967,,Multiple PER,,11.18,
,CAGR  by  P/FCF,0.09862773577985061,0.23319223432991598,,P/FCF +caja,,,4.546567142857143,2.6409460013813133,3.1506431843518334,3.53499454307426,6.602478316260845,7.502813287493108,,Multiple P/FCF,,11.66,
,CAGR by EV/EBITDA,0.2793049985602891,0.27867431094687634,,EV/EBITDA,,,4.616964285714286,4.99325735132414,5.267304467253748,5.603360106094505,7.784680189364981,9.005364439107883,,Multiple EV/EBITDA,,5.7,
,CAGR  by EV/EBIT,0.297768167612656,0.25054090546593333,,EV/EBIT,,,4.108954831932772,4.504028933312334,5.207074763370974,5.851451631364342,6.924845101122202,8.050187743587772,,Multiple EV/EBIT,,8.75,
,,,,,Free cashflow yield,,,0.1423096976016684,0.0826628563991096,0.09861661880882401,0.11064699775495047,0.20666068774213556,0.23484159730982174,,,,,
,,,,,FCF/EBITDA,,,0.3797565217391304,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Análisis Detallado del Desembolso de Caja en 2025,,,,,,,,,,,,,,,,,
,1. Proyecto Unifiber (Diapositiva 13),,,,,,,,,,,,,,,,,
,Periodo de Inversión Total: 2021 - 2025,,,,,,,,,,,,,,,,,
,"Inversión Total de Unidata: 7,0 M€",,,,,,,,,,,,,,,,,
,"Pagado hasta el 31 de marzo de 2025: 6,9 M€",,,,,,,,,,,,,,,,,
,"Cálculo para 2025: El proyecto finaliza en 2025. Si del total de 7,0 M€ ya se han pagado 6,9 M€, el desembolso de caja restante que ocurrirá durante 2025 es de 0,1 M€.",,,,,,,,,,,,,,,,,
,2. Proyecto Unitirreno (Diapositiva 16),,,,,,,,,,,,,,,,,
,Periodo de Inversión Total: 2022 - 2025,,,,,,,,,,,,,,,,,
,"Inversión Total de Unidata: 12,0 M€ - 18,0 M€",,,,,,,,,,,,,,,,,
,"Pagado hasta el 31 de marzo de 2025: 7,5 M€",,,,,,,,,,,,,,,,,
,"Cálculo para 2025: El proyecto también finaliza en 2025. Por lo tanto, el dinero que falta por poner debe desembolsarse en 2025.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Faltante (escenario bajo): 12,0 M€ - 7,5 M€ = 4,5 M€",,,,,,,,,,,,,,,,,
,"Faltante (escenario alto): 18,0 M€ - 7,5 M€ = 10,5 M€",,,,,,,,,,,,,,,,,
,"El desembolso de caja para 2025 es de entre 4,5 M€ y 10,5 M€. Mi cálculo de 7,5 M€ es un punto medio razonable para modelar.",,,,,,,,,,,,,,,,,
,3. Proyecto Unicenter (Diapositiva 36),,,,,,,,,,,,,,,,,
,Periodo de Inversión Total: A partir de 2025,,,,,,,,,,,,,,,,,
,"Inversión Total de Unidata: 5,7 M€",,,,,,,,,,,,,,,,,
,Pagado hasta el 31 de marzo de 2025: 0 M€,,,,,,,,,,,,,,,,,
,"Cálculo para 2025: Como el proyecto arranca en 2025 y no se ha pagado nada, el desembolso de 5,7 M€ comenzará a realizarse a partir de 2025. Es una suposición de modelaje conservadora asumir que una parte significativa (o todo, si es un pago inicial) se ejecute en el primer año para ponerlo en marcha.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Conclusión y Resumen de la Lógica,,,,,,,,,,,,,,,,,
,La distinción clave es:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"""Total Investment"": Es el coste total de la participación de Unidata en el proyecto a lo largo de varios años.",,,,,,,,,,,,,,,,,
,"""Cash Outflow / Desembolso de Caja"": Es el dinero que realmente sale de la cuenta bancaria de la empresa en un año específico (en este caso, 2025).",,,,,,,,,,,,,,,,,
,Proyecto,Periodo Inversión Total,Inversión Total Unidata,Pagado hasta Q1 2025,Desembolso de Caja en 2025 (Estimado),,,,,,,,,,,,,
,Unifiber,2021-2025,"7,0 M€","6,9 M€","0,1 M€",,,,,,,,,,,,,
,Unitirreno,2022-2025,"~15,0 M€ (medio)","7,5 M€","~7,5 M€",,,,,,,,,,,,,
,Unicenter,2025 ->,"5,7 M€",0 M€,"~5,7 M€",,,,,,,,,,,,,
,TOTAL,,,,"~13,3 M€",,,,,,,,,,,,,


