--- HOJA: WATCHLIST ---
,,,250,,,,5,10,,,,,C21,C22,C23,C24,A1
,Ticker,Shares names,Price chart,Price,Daily Change,Daily Change %,5-Day Price,10-Day Price,5-Day Price %,10-Day Price %,Marketcap,PE,3-Year CAGR  by PER,3-YearCAGR  by  P/FCF,3-Year CAGR by EV/EBITDA,3-Year CAGR  by EV/EBIT,Timestamp
,TSE:GSY,goeasy Ltd,,27.126022,1.66,0.046,26.345208999999997,21.2699245,0.029637760702524885,0.27532290958531624,434698117.42499995,-,0.6952474232312151,-0.972,-2.34671063552326,-2.34671063552326,2026-05-27
,ASX:EDU,EDU Holdings Ltd,,0.6784899999999999,0.04,0.044000000000000004,0.6070699999999999,0.5927859999999999,0.11764705882352944,0.14457831325301207,84227272.2286,10.14,0.59,0.49,0.64,#VALEUR!,2025-09-03
,HQI,Hirequest Inc,,13.09,0.48,0.0378,12.01,12.47,0.08992506244795995,0.049719326383319995,183063001,28.02,0.01654712502192777,0.0756726204450373,0.018892954001628253,0.05216787352766604,2025-04-29
,NASDAQ:STX,Seagate Technology Holdings PLC,,873.62,30.91,0.037000000000000005,751.07,817.35,0.16316721477358964,0.06884443628800385,196816916975,83.13,-0.24359190357015428,-0.3320750409335681,-0.3487034082252487,-0.2876770927781167,2025-07-02
,META,Meta Platforms Inc,,632.21,19.06,0.0362,605.06,616.63,0.04487158298350602,0.02526636718940045,1608877875432,23.09,0.1783333326661426,-0.010143483815989177,0.1252446254423224,0.08548071366917387,2026-05-27
,NASDAQ:BKNG,Booking Holdings Inc,,168.58,5.33,0.0327,156.95,155.03,0.07410003185727954,0.0874024382377605,130667697786,22.17,0.1941991380750614,0.17689284718202591,0.22504561369124643,0.22120565572734963,2026-05-27
,EPA:MC,LVMH Moet Hennessy Louis Vuitton SE,,562.90402275,14.75,0.031400000000000004,551.0981009999999,526.0904835,0.021422541156606245,0.06997567985850095,324048429973.46686,22.15,0.3023649300215207,0.2497388703802969,0.3122253054395578,0.24896405771890423,2026-05-27
,LON:JET2,Jet2 PLC,,15.783304999999999,34,0.0298,14.748994799999998,14.6952644,0.07012750455373418,0.07404021937842775,30132759.87397,5.3,0.3701042023404605,-0.11480528556663751,0.32881549969114754,0.24810072976429154,2026-05-27
,HOOD,Robinhood Markets Inc,,76.17,2.14,0.0282,75.76,76.75,0.005411826821541732,-0.007557003257328998,68789576400,36.88,,,,,
,NYSE:EPAM,EPAM Systems Inc,,102.25,2.36,0.0245,104.3,90.39,-0.019654841802492773,0.13120920455802643,5329978613,14.67,0.16245637227920648,0.18526802723596833,0.21092910031280174,0.17763016193783884,2026-05-27
